'Sofa.exists_hausdorffDist_edge_subset_ball' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.tendsto_vtxP_of_tendsto_hausdorffDist' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.tendsto_edgeMax_of_tendsto_hausdorffDist' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.tendsto_primitive_of_tendsto_hausdorffDist' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.tendsto_arcFn_of_tendsto_hausdorffDist' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.tendsto_sigmaK_Ioc' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.volume_stdTri' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.det_triLin' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.volume_tri' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.measureReal_tri' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.measureReal_triAt' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.tri_subset_of_convex' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.cross_nonneg_of_mem_tri' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.cross_cramer' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.exists_smul_of_cross_eq_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.wedgeC_subset_left' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.wedgeC_subset_right' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.volume_setOf_cross_eq_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.volume_sector_add' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.cross_eq_frame' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.abs_cross_vtxP_sub_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.mem_wedgeC_decomp' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.sector_subset_tri_smul' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.volume_sector_squeeze' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.vtxP_eq_of_arcFn_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.cross_vtxP_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.curveG_add' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.abs_curveG_sub_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.secR_add' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.secR_eq_zero_of_arcFn_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.local_geom' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.cross_vtxP_pos_of' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.abs_secR_sub_curveG_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.secR_add'' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.secR_eq_curveG' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.vtxP_add_two_pi' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.inner_vtxP_mono' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.inner_vtxP_anti' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.inner_vtxP_frame' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.inner_vtxP_pos_near' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.inner_vtxP_neg_near' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.exists_angle' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.exists_polar_Ico' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.sin_sandwich' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.vtxP_eq_polar' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.vtxAngle_add_two_pi' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.vtxAngle_step' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.angle_mem_of_mem_wedgeC' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.exists_mem_wedgeC' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.eq_iUnion_sector' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.sector_aeDisjoint' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.volume_eq_sum_sector' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.volumeReal_eq_sum_secR' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.volumeReal_eq_curveG_of_part' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.volumeReal_eq_curveG' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.vtxP_tr' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.arcFn_tr' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.sigmaK_tr' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.setIntegral_inner_u_sigmaK' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.curveG_tr' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.exists_areaSetup_of_mem_interior' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.volumeReal_eq_curveG_of_mem_interior' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.volumeReal_eq_curveG_of_interior_nonempty' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.ConvexBilinearOn.expand' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.quad_along' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.dirDeriv_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.isMaxOn_iff_dirDeriv_nonpos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.supportFn_mix' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.vtxP_mix' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.edgeMax_mix' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.arcFn_mix' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.sigmaK_mix' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.areaB_mix_left' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.areaB_mix_right' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.isQuadraticOn_volumeReal' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.continuous_m0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.armF_mono' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.jFn_le_armF' depends on axioms: [propext, Classical.choice, Quot.sound]
